questions,option1,option2,option3,option4,option5,answer,explanation,type,section
"কোন উক্তিগুলো সঠিক?<br />
<br />
i. ঈষ্ট থেকে ইনভারটেজ ও জাইমেজ নিঃসৃত হয়<br />
ii. ইনভারটেজ গ্লুকোজ ও ফ্রুক্টোজকে বিয়োজিত করে ইথানল ও CO<sub>2</sub> এ পরিণত করে<br />
iii. জাইমেজ গ্লুকোজ ও ফ্রুক্টোজকে বিয়োজিত করে ইথানল ও CO<sub>2</sub> এ পরিণত করে<br />
iv. জাইমেজ চিনিকে আর্দ্র বিশ্লেষণ করে গ্লুকোজ ও ফ্রুক্টোজে পরিণত করে","ii,iv","i,ii,iii","ii,iii","i,iii",,4,,1,1
"মানবদেহে ক্ল্যাভিকল অস্থি কোথায় অবস্থিত?",বক্ষপিঞ্জর,"বক্ষ অস্থিচক্র",মুখমন্ডল,করোটিকা,,2,"মানবদেহে বক্ষ অস্থিচক্রে ক্ল্যাভিকল অস্থি অবস্থিত। এটি দেখতে ইটালিক এর মতো বাঁকা অস্থি।",1,1
"মেন্ডেলের প্রথম সূত্রের ফিনোটাইপিক ব্যতিক্রম নয় কোনটি?",3:1,1:2:1,2:1,"কোনোটিই নয়",,1,"<br />
মেন্ডেলের প্রথম সূত্রের ব্যতিক্রম<br />
<br />
অসম্পূর্ণ প্রকটতা – 1:2:1<br />
<br />
সম্প্রকটতা 1:2:1<br />
<br />
লিথাল জিন 2:1",1,1
"মাইটোসিস কোষ বিভাজনের সবচেয়ে দীর্ঘস্থায়ী পর্যায় কোনটি?",প্রোফেজ,প্রো-মেটাফেজ,মেটাফেজ,অ্যানাফেজ,,1,,1,1
"রক্ষীকোষ কোথায় থাকে?",এপিব্লেমাতে,ট্রাইকোমে,"ফুলের পাপড়িতে",পত্ররন্ধ্রে,,4,"পত্ররন্ধের রক্ষীকোষে একটি সুস্পষ্ট নিউক্লিয়াস, বহু ক্লোরোপ্লাস্ট ও ঘন সাইটোপ্লাজম থাকে।",1,1
"কোন শ্রেণীর প্রাণীদের চোয়াল দন্তহীন চঞ্চুতে পরিণত হয়েছে?",Actinopterygii,Aves,Sarcopterygii,Mammalia,,2,"Aves প্রাণীদের চোয়াল দন্তহীন চঞ্চুতে পরিণত হয়েছে; দেহ পালকে আবৃত; গ্রীবা প্রলম্বিত।",1,1
"তেলাপোকার স্নায়ুতন্ত্রে মোট কতটি গ্যাংলিয়ন বিদমান?",৯,৩,৬,১৩,,1,"তেলাপোকার বক্ষদেশে ৩টি, উদরীয় অঞ্চলে ৬টি গ্যাংলিয়ন বিদ্যমান।",1,1
"পরিপাকতন্ত্রের সংগঠন ক্রমমাত্রা কোনটি?",কোষীয়,কোষ-টিস্যু,টিস্যু-অঙ্গ,অঙ্গ-তন্ত্র,,4,"অঙ্গ-তন্ত্র মাত্রার গঠনতন্ত্রগুলো হলো: শ্বসন, সংবহন ও পরিপাক প্রভৃতি।",1,1
"কোষ বিভাজন কে আবিষ্কার করেন?",Darwin,Flemming,Strusburger,Haward,,2,,1,1
"কোনটি Angiosperm এর অন্তর্ভুক্ত?","Podocarpus neriifolius","Saccharum officinarum","Gnetum montanum","Cycas revoluta",,2,"Saccharum officinarum, Angiosperm এর অন্তর্ভুক্ত।",1,1
"সালোকসংশ্লেষণ প্রক্রিয়ায় পানি প্রয়োজন হয় কোনটি উৎপাদন করতে?",RUBP,GTP,NADPH⁺+H⁺,FADH₂,,3,"সালোকসংশ্লেষণ একটি শারীরবৃত্তীয় প্রক্রিয়া। এ প্রক্রিয়ায় পানি প্রয়োজন হয় NADPH⁺+H⁺ উৎপাদনে।",1,1
"কোনটি রেটিনার অংশ বিশেষ নয়?",লেন্স,অন্ধবিন্দু,"ফোবিয়া সেন্ট্রালিস","অপটিক স্নায়ু",,1,"Option B, C ও D রেটিনার অংশ এবং Option A অক্ষিগোলকের অংশ।",1,1
"কোনটি ফ্লোয়েম টিস্যুর উপাদান নয়?",ট্রাকিড,সঙ্গীকোষ,সীভনল,"ফ্লোয়েম ফাইবার",,1,"ফ্লোয়েম টিস্যুর উপাদান: সঙ্গীকোষ, সীভনল ও ফ্লোয়েম ফাইবার।",1,1
"C3 উদ্ভিদের ক্ষেত্রে কোনটি সঠিক?","স্টোম্যাটা দিনে খোলা থাকে","পাতায় ক্রাঞ্জ এনাটমি অনুপস্থিত","ক্লোরোপ্লাস্টে একই ধরনের গ্রানাম থাকে","উপরের সবগুলো",,4,,1,1
"উভচরের যুগ নামে পরিচিত কোনটি?",ক্যাম্ব্রিয়ান,সিলুরিয়ান,"কার্ব নিফেরাস",ডেভোনিয়ান,,3,"Age of Amphibia বলা হয় permian ও Carboniferous period কে।",1,1
