questions,option1,option2,option3,option4,option5,answer,explanation,type,section
"1MW সমান কত?","10<sup>6</sup> W","10<sup>6</sup> Js","1000 KW","সবগুলো ",,4,,1,1
"মাত্রাহীন রাশি কোনটি?",কোণ,বিকৃতি,ঘনকোণ,"সবগুলো ",,4,"আনুপাতিক রাশিসমুহ মাত্রাহীন রাশি হয়ে থাকে।",1,1
"একটি গোলকের পরিমাপ্য ব্যাসার্ধ ( 2.5 ± 0.2 ) cm হলে, এর আয়তন পরিমাপে শতকরা ত্রুটি কত?","0.08 %","8 %","16 %","24 %",,4," <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/250307140159.jpg"">",1,1
"পুনরাবৃত্তিক ক্রটি কোনটি?","স্ক্রু - গজের শূণ্য ত্রুটি",দৃষ্টিভ্রম,"অনিয়মিত ত্রুটি","সামগ্রিক ত্রুটি",,1,"নিয়মিত বা পুনরাবৃত্তিক ত্রুটিঃ পরিক্ষাকালে কোন কোন ত্রুটির ফলে পরীক্ষণীয় রাশির পরীক্ষালব্ধ মান প্রতিবারে নিয়মিত ভাবে প্রকৃত মান অপেক্ষা কিছু কম বা বেশি হয়, এই ধরনের ত্রুটিকে নিয়মিত বা পুনরাবৃত্তিক ত্রুটি বলে ।স্ক্রু গজের শুন্য ত্রুটি এর উদাহরণ।",1,1
"পদার্থবিজ্ঞান কথাটি গ্রিক শব্দ ----- থেকে এসেছে।",Fusis,Fuss,Fusil,Fusia,,1,"গ্রিক শব্দ Fusis (প্রকৃতি) হতে এসেছে ",1,1
"যদি A = B<sup>n</sup>C<sup>m</sup> এবং A, B ও C এর মাত্রা যথাক্রমে, LT, L<sup>2</sup>T <sup>-1</sup>এবং LT<sup>2</sup> হয় তবে n ও m এর মান হবে-","2/3, 1/3","2, 3","4/5, -1/5","1/5, 3/5",,4," <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/250307140610.jpg"">",1,1
"একটি স্লাইড ক্যালিপার্সের প্রধান স্কেলের ক্ষুদ্রতম এক ঘরের মান 1mm. ভার্ণিয়ার স্কেলের 20 ঘর প্রধান স্কেলের 19 ঘরের সমান। ওই স্কেলের ভার্ণিয়ার ধ্রুবক হবে-",0.5mm,0.1mm,0.01mm,0.05mm,,4," ভার্নিয়ার ধ্রুবক = 1/20 = 0.05",1,1
"যদি →A×→B = −(→B × →A)<br />
 হয় তবে এদের মধ্যবর্তী কোণ?",π,π/2,π/4,2π,,1,,1,1
"কোনটি ভেক্টর রাশি?","বৈদ্যুতিক প্রাবল্য","বৈদ্যুতিক বিভব","স্বর্ণপাত ধারকযন্ত্র",আয়তন,,1,,1,1
"সঠিক উত্তর কোনটি?<br />
<br />
[উক্ত প্রশ্নে ও অপশনে i, j, k. উপর ভেক্টর চিহ্ন বিবেচিত]","k × j = i","k × j = 1","k × j = -i","k × j = 0",,3," <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/250307141851.jpg"">",1,1
"একটি বস্তুকে সে পরিমাণ বল দ্বারা পূর্বদিকে, সেই একই পরিমাণ বল দ্বারা দক্ষিণ দিকে টানা হচ্ছে। লব্ধিবল পশ্চিম দিকের সাথে কত কোণ উৎপন্ন করবে?",45,90,135,180,,3," <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/250307155858.jpg"">",1,1
"যদি →B = x²yˆi + y²zˆj + z²xˆk<br />
 হয়, তবে (1, 1, 0) বিন্দুতে <br />
→∇.→B এর মান নির্ণয় কর।",2,-2,1,-1,,1," <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/250307160113.jpg"">",1,1
"যদি দুটি সমান ভেক্টরের লব্ধি যে  কোন একটির সমান হয়,তবে ভেক্টরদ্বয়ের মধ্যবর্তী কোণ কত হবে?",120,90,60,30,,1,,1,1
"এক মিটার চক্রগতির ব্যাসার্ধ বিশিষ্ট বৃত্তাকার চাকার দ্বন্দ্বের মোমেন্ট ও কৌণিক ত্বরণ 20 Nm ও 10 rad/sec<sup>2</sup> হলে চাকাটির ভর কত? ","1 kg","2 kg","1 gm","2 gm",,2,"I = 20/10 = 2<br />
<br />
m = I/K<sup>2</sup> = 2/1<sup>2</sup> = 2 Kg",1,1
"π/5 Nm মানের একটি টর্ক 30 rpm বেগে ঘূর্ণায়মান একটি চাকাকে 10s এ থামিয়ে দেয়। চাকার জড়তার ভ্রামক কত kgm<sup>2</sup> ?",2,2π,4,4/π,,1," <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/250307160902.jpg"">",1,1
" <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/250307225011.jpg"">",A,B,C,D,,4,,1,1
"একটি হালকা বস্তু ও একটি ভারী বস্তু গতিশক্তি সমান। কার ভরবেগ বেশি?","ভারী বস্তু ","হালকা বস্তু","উভয় বস্তুর ","বলা সম্ভব নয় ",,1,,1,1
"কোনো মোটর প্রতি মিনিটে 5kg ভরের পানি, ভু গর্হস্থ হতে তুলে 4√5 m/s বেগে নিক্ষেপ করে। ভু পৃষ্ঠ হতে পানির স্তরের গড় গভীরতা 8m, হলে মোটর ক্ষমতা কত?<br />
[g = 10 m/s<sup>2</sup>]","1 W","10 W","100 W","1000 W",,2,"P = (mgh + (1/2mv<sup>2</sup>)) / t<br />
= 5(10*8)+(1/2*(4√5)<sup>2</sup>)/60<br />
= 10 W",1,1
" <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/250307230345.jpg"">","8 cm","80 cm","8 m","8 mm",,1,,1,1
"ভু পৃষ্ঠ হতে 2R উচ্চতায় এবং R/2 গভীরতায় অভিকর্ষ ত্বরণের অণুপাত কত?",9:5,2:9,4:1,9:2,,2," <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/250307230527.jpg"">",1,1
"R ব্যাসার্ধের পৃথিবীর পৃষ্ঠে বিভব V হলে পৃথিবী পৃষ্ঠ হতে 10R উচ্চতায় বিভবের মান কত?",10V,11V,V/11,V/10,,3,"We know, <br />
V =-(GM)/R<br />
<br />
V' = -(GM)/(R+10R) =-(GM)/11R<br />
=V/11",1,1
"সমান দৈর্ঘ্যের কিন্তু ভিন্ন উপাদানের দুইটি তারে সমান বল প্রয়োগ করা হল। ১ম তারের দৈর্ঘ্য বৃদ্ধি দ্বিতীয় তারের 2.5 গুণ। ১ম ও ২য় তারের প্রস্থচ্ছেদের ব্যাস যথাক্রমে 1mm ও 2mm; ১ম ও ২য় তারের ইয়ং-এর গুণাঙ্কের অনুপাত কত?",4:5,8:5,6:5,9:5,,2,,1,1
"কোনো একটি বেগের স্পন্দন গতির সমীকরণ <br />
v = 4sin(2t + π/2) cms<sup>-1</sup> হলে এর হতে নিচের কোনটি নির্ণয় করা সম্ভব? ","সর্বোচ্চ বেগ","সর্বোচ্চ ত্বরণ","বিস্তার ","সবগুলো ",,4,,1,1
"নিচের কোন ক্ষেত্রে সরল দোলকের দোলনকালের কোনো পরিবর্তন হবে না?","সমত্বরণে চলন্ত লিফটে নিয়ে গেলে","কার্যকরী দৈর্ঘ্য পরিবর্তন করলে","ববের উপাদান পরিবর্তন করলে","খনিতে নিয়ে গেলে",,3,"Ans: ববের উপাদান পরিবর্তন করলে",1,1
" একটি 77°C তাপমাত্রা কিছু গ্যাস আছে। স্থির চাপে T তাপমাত্রা গ্যাসের আয়তন 1.5 গুণ  হয়। T = কত?","525 K","425 K","233.66 K","198.33 K",,1,"T<sub>1</sub> = 350 K<br />
V<sub>2</sub> = 3/2V<sub>1</sub><br />
<br />
T<sub>2</sub> = 3/2 * 350 = 525 K",1,1
" <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/250308090821.jpg"">",A,B,C,D,,2,"P/T = K = Constant ",1,1
