questions,option1,option2,option3,option4,option5,answer,explanation,type,section
"<b><font color=""black"">Walter Flemming কোন জীবকোষে সর্বপ্রথম কোষ বিভাজন লক্ষ্য করেন?<br />
</font></b>","<i>Triturus maculosa</i>","<i>Pinctada vulgaris</i>","<i>Pila globasa</i>","<i>Arenicola marina</i>",,1,"<b><font color=""green""><br />
Walter Flemming ১৮৮২ খ্রিস্টাব্দে সামুদ্রিক স্যালামান্ডার (Triturus maculosa) কোষে প্রথম কোষ বিভাজন লক্ষ্য করেন।<br />
</font></b>",1,1
"<b><font color=""black"">ক্রোমোসোমের আকৃতির জন্য নিম্নের কোন জোড়াটি সঠিক নয়?<br />
</font></b>","L - সাবমেটাসেন্ট্রিক","V – মেটাসেন্ট্রিক","। – টেলোসেন্ট্রিক","A - অ্যাক্রোসেন্ট্রিক",,4,"<b><font color=""green""><br />
ব্যাখ্যাঃ ক্রোমোসোমের আকৃতিঃ সেন্ট্রোমিয়ারের অবস্থান অনুযায়ী ক্রোমোসোমগুলো নিম্নের আকৃতি সম্পন্ন হতে পারে<br />
<br />
(i) V – মেটাসেন্ট্রিক<br />
<br />
(ii) L - সাবমেটাসেন্ট্রিক<br />
<br />
(iii) J – অ্যাক্রোসেন্ট্রিক<br />
<br />
(iv) I - টেলোসেন্ট্রিক<br />
<br />
অর্থাৎ, অ্যাক্রোসেন্ট্রিক ক্রোমোজোমের আকার ইংরেজি J এর মত।<br />
</font></b>",1,1
"<b><font color=""black"">একটি দ্বিতন্ত্রী DNA অণু দৈর্ঘ্য বরাবর দুটি দ্বিতন্ত্রী অণুতে পরিণত হয় কোন দশায়?<br />
</font></b>","G₁ দশা","G₂ দশা","M দশা","S দশা",,4,"<b><font color=""green""><br />
S-ফেজ (S= Synthesis অর্থাৎ সংশ্লেষণ): S-ফেজকে DNA সংশ্লেষণ পর্যায় বলা হয়। এ পর্যায়ে DNA অণুর প্রতিলিপন ঘটে। একটি দ্বিতন্ত্রী DNA অণু দৈর্ঘ্য বরাবর দুটি দ্বিতন্ত্রী অণুতে পরিণত হয়। প্রতিটি ডিপ্লয়েড কোষে DNA-এর পরিমাণ দ্বিগুণ হয়ে যায়। এসময় হিস্টোন প্রোটিন সংশ্লেষণ হয়।<br />
</font></b>",1,1
"<b><font color=""black"">ক্রসিংওভারে কয়টি এনজাইমের প্রয়োজন হয়?<br />
</font></b>",Isomerase,Helicase,Endonuclease,Sucrase,,3,"<b><font color=""green""><br />
ক্রোমাটিড ভাঙতে Endonuclease এনজাইম ক্রোমাটিড জোড়া লাগাতে Ligase এনজাইম।<br />
</font></b>",1,1
"<b><font color=""black"">ক্রসিংওভারে কোন এনজাইমের প্রয়োজন হয়?<br />
</font></b>",এক,দুই,তিন,চার,,2,"<b><font color=""green""><br />
•অ্যামাইটোসিস এ অপত্য কোষ সৃষ্টি হয় – ২ টি<br />
<br />
•মাইটোসিস এ অপত্য কোষ সৃষ্টি হয় – ২ টি<br />
<br />
•মায়োসিস এ অপত্য কোষ সৃষ্টি হয় – ৪ টি<br />
</font></b>",1,1
"<b><font color=""black"">কোনটিতে অ্যামাইটোসিস ঘটে না?<br />
</font></b>",ব্যাকটেরিয়া,অ্যামিবা,ভাইরাস,ঈস্ট,,3,"<b><font color=""green""><br />
অ্যামাইটোসিস বা প্রত্যক্ষ কোষ বিভাজন: যে কোষ বিভাজন প্রক্রিয়ায় একটি মাতৃকোষের নিউক্লিয়াস ও সাইটোপ্লাজম কোনো জটিল মাধ্যমিক পর্যায় ছাড়াই সরাসরি বিভক্ত হয়ে দু'টি অপত্য (শিশু) কোষের সৃষ্টি করে, তাকে অ্যামাইটোসিস বা প্রত্যক্ষ কোষ বিভাজন বলে। উদাহরণ: ব্যাকটেরিয়া, কতক ঈস্ট, অ্যামিবা প্রভৃতি এককোষী জীবে বিশেষ করে আদিকোষী জীবে এ প্রকার বিভাজন দেখা যায়।<br />
</font></b>",1,1
"<b><font color=""black"">সাইটোকাইনেসিস না হলে এবং ক্যারিওকাইনেসিস চলতে থাকলে একটি কোষে বহু নিউক্লিয়াসের সৃষ্টি হয়, এই প্রক্রিয়াটি হচ্ছে-<br />
</font></b>",ঈস্ট,"অনিয়ন্ত্রিত মিয়োসিস",টিউমার,"মুক্তপ্রাণকেন্দ্রীয় বিভাজন",,4,"<b><font color=""green""><br />
মুক্ত প্রাণকেন্দ্রীয় বিভাজন/মুক্ত নিউক্লিয়ার বিভাজন: সাইটোকাইনেসিস না হলে (এবং ক্যারিওকাইনেসিস চলতে থাকলে) একই কোষে বহু নিউক্লিয়াস সৃষ্টি হয়। একে বলা হয় মুক্ত নিউক্লিয়ার বিভাজন (free nuclear division)। ডাবের পানি মুক্ত নিউক্লিয়ার বিভাজন এর উদাহরণ।<br />
</font></b>",1,1
"<b><font color=""black"">দুটি নন সিস্টার ক্রোমাটিডের X আকৃতির জোড়াস্থলকে কি বলে?<br />
</font></b>","সিস্টার ক্রোমাটিড",টেট্রাড,"নন সিস্টার ক্রোমাটিড",কায়াজমা,,4,"<b><font color=""green""><br />
•প্রতি বাইভেলেন্টে দুটি সেন্ট্রোমিয়ার, চারটি ক্রোমাটিড থাকে।<br />
<br />
•একই ক্রোমোসোমের দুটি ক্রোমাটিডকে সিস্টার ক্রোমাটিড বলে।<br />
<br />
•একই জোড়ার দুটি ভিন্ন ক্রোমোসোমের ক্রোমাটিডকে নন সিস্টার ক্রোমাটিড বলে।<br />
[Ref: হাসান]<br />
</font></b>",1,1
"<b><font color=""black"">নিচের কোনটি দ্বারা ফসফোরাইলেশন প্রক্রিয়া নিয়ন্ত্রিত হয়?<br />
</font></b>","Growth Factor",Cdk,Erythroprotein,MPF,,2,"<b><font color=""green""><br />
G₁ দশা (গ্যাপ ১): একটি কোষ পরবর্তীতে বিভাজন প্রক্রিয়ায় অংশগ্রহণ করবে কিনা, তার সিদ্ধান্ত নেয়া হয় G₁ উপপর্যায়ে। G₁-এর প্রথমেই সাইক্লিন নামক এক প্রকার প্রোটিন তৈরি হয় যা Cdk (Cyclin dependent kinase) এর সাথে যুক্ত হয়ে সমগ্র প্রক্রিয়ার গতি ত্বরান্বিত ও নিয়ন্ত্রণ করে। Cdk ফসফোরাইলেশন প্রক্রিয়া নিয়ন্ত্রণ করে। এ সময় প্রয়োজনীয় অন্যান্য প্রোটিন, RNA এবং DNA রেপ্লিকেশনের সকল উপাদান তৈরি হয়। যে কোষটি আর বিভাজিত হবে না তা এক সপ্তাহ বা এক বছর অর্থাৎ আমৃত্যু G₁ উপপর্যায়েই আবদ্ধ হয়ে যায়। মোট কোষ চক্রের ৩০-৪০% সময় এই উপপর্যায়ে ব্যয় হয়।<br />
</font></b>",1,1
"<b><font color=""black"">প্রোফেজ ১ এর কোন দশায় প্রাণিকোষে সেন্ট্রিওল অবিভক্ত থাকে?<br />
</font></b>",জাইগোটিন,লেপ্টোটিন,ডিপ্লোটিন,প্যাকাইটিন,,2,"<b><font color=""green""><br />
লেপ্টোটিন (Leptotene; গ্রিক, leptos = চিকন বা সরু + tene = সুতা): এ উপপর্যায়ে নিউক্লিয়াসের আকার বৃদ্ধি পায় ও DNA-র পরিমাণ দ্বিগুণ হয়। নিউক্লিয়াসের জলীয় অংশ কমে যায় এবং নিউক্লিয়ার রেটিকুলাম (বা ক্রোমাটিন তন্তুটি) ভেঙ্গে লম্বা প্যাঁচহীন ও সরু ক্রোমোজোম আত্মপ্রকাশ করে। প্রতিটি ক্রোমোজোম একটি করে ক্রোমাটিড নিয়ে গঠিত এবং এর গায়ে দানাদার ক্রোমোমিয়ার বিন্যস্ত থাকে। নিউক্লিয়ার মেমব্রেন ও নিউক্লিওলাস সুস্পষ্ট থাকে। এ উপপর্যায়ের শেষ দিকে ক্রোমোজোমগুলো কুন্ডলীকৃত ও মোটা হতে থাকে। এ উপদশার শেষ দিকে প্রাণিকোষের ক্রোমোজোমগুলো এক প্রান্তে সরে গিয়ে ফুলের তোড়ার আকার ধারণ করে। বিজ্ঞানী ডার্লিংটন এরূপ সজ্জা বিন্যাসকে বুকে স্টেজ (bouquet stage) বলে। এ পর্যায়ে সেন্ট্রিওল অবিভক্ত থাকে। ক্রোমোজোমের এ বিন্যাসকে পোলারাইজড বিন্যাস বলে।<br />
</font></b>",1,1
"<b><font color=""black"">স্তন্যপায়ীদের কোষচক্রে মাইটোসিস দশা কতক্ষণ স্থায়ী হয়?<br />
</font></b>","0.5-1 ঘণ্টা","1-1.5 ঘণ্টা","2-2.5 ঘণ্টা","3-5 ঘণ্টা",,2,"<b><font color=""green""><br />
 G₂ দশা শেষ হওয়া থেকে শুরু করে G₁ দশা সূচনা হওয়ার পূর্ববর্তী মুহূর্ত পর্যন্ত সময়কে M দশা বা মাইটোসিস দশা বলে। স্তন্যপায়ীদের কোষচক্রে এ দশা ১-১.৫ ঘণ্টা স্থায়ী হয়।<br />
</font></b>",1,1
